,Experiment Case,Mean,Variance,Holding cost,Process cost,Delivery cost,Order cost,Shortage cost
0,Q1,-6478.9,78.89955639925994,10.710151414591982,3.096204602633163,3.4635509114201484,9.260831313957617,73.46926175739709
1,Q2,-7547.29947125,25.777119484471008,78.38962126502354,4.110079389080132,4.250526976198925,13.249772369697396,0.0
2,Q3,-8530.899467083334,14.971304082032024,76.16663977995347,3.6502598723797393,3.772169643326269,16.41093070434051,0.0
3,Q4,-9002.899469166668,26.49036530986553,73.00869560609536,3.441113621906032,3.556631961698875,19.99355881029973,0.0
